word_type	word_subtype	word	dual_category	lemma_freq	llfpm10	freq_bin	mds_x	mds_y
Target words	Insanity and madness	ütődött	False	571.0	-0.1763487762121098	1	-0.28725462276857283	-0.48159207955884664
Target words	Insanity and madness	őrült	False	158527.0	2.267118356558806	10	-0.41849217286491924	-0.23405419111614925
Target words	Mood disorder	bipoláris	False	13388.0	1.1937308192277818	6	0.3360894712011845	-0.5796735992372879
Target words	Neurodevelopmental	autista	True	57717.0	1.8283188648986064	9	0.16500779993179993	-0.71993892452702
Target words	Neurodevelopmental	hiperaktív	False	14740.0	1.2355125990650748	7	0.403250169926696	0.01590064515968948
Target words	Neurosis and compulsion	kényszeres	False	22891.0	1.426679880911894	8	0.2078560552317713	-0.3213343914275557
Target words	Neurosis and compulsion	megszállott	True	57857.0	1.829371026409076	9	-0.021782745212204684	0.5018811486138844
Target words	Neurosis and compulsion	neurotikus	False	10350.0	1.0819554653349788	5	0.22187980901309867	-0.24644617870714153
Target words	Panic and phobia	fóbiás	True	2728.0	0.5028594815264835	2	0.2989067825533433	-0.3878438306747188
Target words	Psychotic spectrum	pszichotikus	False	6997.0	0.9119269894541828	4	0.3493784961787999	-0.2753211990717007
Target words	Psychotic spectrum	szkizofrén	True	1352.0	0.1979918071476593	1	0.1335758562209538	-0.5757792565518947
Target words	Trauma	traumatizált	False	2380.0	0.4435920725985541	2	-0.06139085577407903	-0.6716002767251835
Target words	Trauma	traumás	True	5628.0	0.8173692043047502	4	0.4803993946794634	-0.342868140053936
